condition,replicate,beta_origin,R2_origin,slope,intercept,R2,E0,beta_origin_delta,R2_origin_delta
coherent_bin_bitflip_p0.10,23,11.653117649052984,-2.928851272850265,5.116297800877427,0.6462654850545039,0.7971449376198101,0.421875,7.3859535543829935,0.2260715157569675
coherent_bin_bitflip_p0.10,24,10.200789201918175,-1.5920021110409226,5.078385087767467,0.5064286696535998,0.8320861644321023,0.3671875,6.48677600840911,0.6086568393119711
coherent_bin_bitflip_p0.10,25,10.254856583234657,-2.1225714865307626,4.902420289362599,0.5291708993093941,0.8795559680944675,0.4140625,6.066714045873369,0.7098955534465876
coherent_bin_bitflip_p0.10,26,9.744146163710596,-5.534393734496214,3.5590659474834916,0.611490596173712,0.7236645277953342,0.375,5.9511114128928275,-0.5894568192728382
coherent_bin_bitflip_p0.10,27,11.42979385856642,-2.095601977744941,5.323603084961298,0.6036911577486186,0.7573137151478371,0.3828125,7.557737550439949,0.27311350227244924
coherent_bin_bitflip_p0.10,28,12.76445164708597,-1.5892604138826942,6.314029755377828,0.6377237142024716,0.7992438780641352,0.4375,8.339244437798573,0.5083629233680038
coherent_bin_bitflip_p0.10,29,10.078178259842211,-2.6481759957299107,4.60664180757366,0.5409457873166964,0.8712383423680992,0.375,6.285143509024442,0.4655065744004887
coherent_bin_bitflip_p0.10,30,11.547809188120796,-4.002246366644154,4.403999697752227,0.7062757751720161,0.6124883912192904,0.34375,8.070860666537842,-1.1930018051848266
coherent_bin_bitflip_p0.10,31,10.16983775158528,-2.190688424509797,4.83653794647662,0.5272789621778594,0.8826937657408586,0.375,6.376803000767511,0.5736193186203049
coherent_bin_bitflip_p0.10,32,10.371975768347324,-3.4288302424700783,4.175725430160129,0.6125949350501567,0.6463523205768783,0.34375,6.895027246764369,-0.4291012538252663
coherent_bin_bitflip_p0.10,33,10.715084199209073,-1.8746672270547333,5.277724606225849,0.5375668775323253,0.9192926543219682,0.3984375,6.684984776465194,0.6991738905958289
coherent_bin_bitflip_p0.10,34,10.238174509781294,-3.0285014299146944,4.536785997673547,0.5636702093434427,0.8598358019496715,0.3671875,6.5241613162722265,0.2641175127319051
coherent_bin_bitflip_p0.10,35,10.345114413158642,-1.335202445874415,5.348733851455891,0.4939692973375948,0.8909801378389641,0.4140625,6.156971875797356,0.8201154574240392
