condition,replicate,n,k,theta,theta2,lambda,sign_changes_half,C,E
coherent_bin_bitflip_p0.05,1,512,10,0.1227184630308513,0.015059821168654416,0.9999899449739952,2,0.77734375,0.4453125
coherent_bin_bitflip_p0.05,1,512,12,0.14726215563702155,0.02168614248286236,0.9999899449739952,2,0.74609375,0.5078125
coherent_bin_bitflip_p0.05,1,512,16,0.19634954084936207,0.038553142191755305,0.9999899449739952,2,0.69921875,0.6015625
coherent_bin_bitflip_p0.05,1,512,20,0.2454369260617026,0.060239284674617664,0.9999899449739952,2,0.65625,0.6875
coherent_bin_bitflip_p0.05,1,512,24,0.2945243112740431,0.08674456993144944,0.9999899449739952,2,0.62109375,0.7578125
coherent_bin_bitflip_p0.05,1,512,28,0.3436116964863836,0.11806899796225062,0.9999899449739952,2,0.62109375,0.7578125
coherent_bin_bitflip_p0.05,1,512,32,0.39269908169872414,0.15421256876702122,0.9999899449739952,2,0.53125,0.9375
coherent_bin_bitflip_p0.05,1,512,64,0.7853981633974483,0.6168502750680849,0.9999899449739952,2,0.37109375,1.2578125
coherent_bin_bitflip_p0.10,1,512,0,0.0,0.0,0.9999899449739952,2,0.80078125,0.3984375
coherent_bin_bitflip_p0.10,1,512,1,0.01227184630308513,0.00015059821168654416,0.9999899449739952,2,0.796875,0.40625
coherent_bin_bitflip_p0.10,1,512,2,0.02454369260617026,0.0006023928467461766,0.9999899449739952,2,0.8125,0.375
coherent_bin_bitflip_p0.10,1,512,3,0.03681553890925539,0.0013553839051788975,0.9999899449739952,2,0.73828125,0.5234375
coherent_bin_bitflip_p0.10,1,512,4,0.04908738521234052,0.0024095713869847065,0.9999899449739952,2,0.75,0.5
coherent_bin_bitflip_p0.10,1,512,5,0.06135923151542565,0.003764955292163604,0.9999899449739952,2,0.796875,0.40625
coherent_bin_bitflip_p0.10,1,512,6,0.07363107781851078,0.00542153562071559,0.9999899449739952,2,0.70703125,0.5859375
coherent_bin_bitflip_p0.10,1,512,8,0.09817477042468103,0.009638285547938826,0.9999899449739952,2,0.6875,0.625
coherent_bin_bitflip_p0.10,1,512,10,0.1227184630308513,0.015059821168654416,0.9999899449739952,2,0.62890625,0.7421875
coherent_bin_bitflip_p0.10,1,512,12,0.14726215563702155,0.02168614248286236,0.9999899449739952,2,0.67578125,0.6484375
coherent_bin_bitflip_p0.10,1,512,16,0.19634954084936207,0.038553142191755305,0.9999899449739952,2,0.58203125,0.8359375
coherent_bin_bitflip_p0.10,1,512,20,0.2454369260617026,0.060239284674617664,0.9999899449739952,2,0.57421875,0.8515625
coherent_bin_bitflip_p0.10,1,512,24,0.2945243112740431,0.08674456993144944,0.9999899449739952,2,0.546875,0.90625
coherent_bin_bitflip_p0.10,1,512,28,0.3436116964863836,0.11806899796225062,0.9999899449739952,2,0.5625,0.875
coherent_bin_bitflip_p0.10,1,512,32,0.39269908169872414,0.15421256876702122,0.9999899449739952,2,0.51171875,0.9765625
coherent_bin_bitflip_p0.10,1,512,64,0.7853981633974483,0.6168502750680849,0.9999899449739952,2,0.296875,1.40625
random_bin,1,512,0,0.0,0.0,0.9999899449739952,2,1.0,0.0
random_bin,1,512,1,0.01227184630308513,0.00015059821168654416,0.9999899449739952,2,0.015625,1.96875
random_bin,1,512,2,0.02454369260617026,0.0006023928467461766,0.9999899449739952,2,0.0,2.0
random_bin,1,512,3,0.03681553890925539,0.0013553839051788975,0.9999899449739952,2,0.0703125,1.859375
random_bin,1,512,4,0.04908738521234052,0.0024095713869847065,0.9999899449739952,2,0.015625,1.96875
random_bin,1,512,5,0.06135923151542565,0.003764955292163604,0.9999899449739952,2,0.0078125,1.984375
random_bin,1,512,6,0.07363107781851078,0.00542153562071559,0.9999899449739952,2,0.0625,1.875
random_bin,1,512,8,0.09817477042468103,0.009638285547938826,0.9999899449739952,2,-0.0078125,2.015625
random_bin,1,512,10,0.1227184630308513,0.015059821168654416,0.9999899449739952,2,-0.0078125,2.015625
random_bin,1,512,12,0.14726215563702155,0.02168614248286236,0.9999899449739952,2,-0.0078125,2.015625
random_bin,1,512,16,0.19634954084936207,0.038553142191755305,0.9999899449739952,2,0.0625,1.875
random_bin,1,512,20,0.2454369260617026,0.060239284674617664,0.9999899449739952,2,-0.0703125,2.140625
random_bin,1,512,24,0.2945243112740431,0.08674456993144944,0.9999899449739952,2,-0.015625,2.03125
random_bin,1,512,28,0.3436116964863836,0.11806899796225062,0.9999899449739952,2,-0.0703125,2.140625
random_bin,1,512,32,0.39269908169872414,0.15421256876702122,0.9999899449739952,2,0.03125,1.9375
random_bin,1,512,64,0.7853981633974483,0.6168502750680849,0.9999899449739952,2,0.046875,1.90625
palindrome_bin_no_coherence,1,512,0,0.0,0.0,0.9999899449739952,2,1.0,0.0
palindrome_bin_no_coherence,1,512,1,0.01227184630308513,0.00015059821168654416,0.9999899449739952,2,0.03125,1.9375
palindrome_bin_no_coherence,1,512,2,0.02454369260617026,0.0006023928467461766,0.9999899449739952,2,0.046875,1.90625
palindrome_bin_no_coherence,1,512,3,0.03681553890925539,0.0013553839051788975,0.9999899449739952,2,-0.0703125,2.140625
palindrome_bin_no_coherence,1,512,4,0.04908738521234052,0.0024095713869847065,0.9999899449739952,2,0.0,2.0
palindrome_bin_no_coherence,1,512,5,0.06135923151542565,0.003764955292163604,0.9999899449739952,2,0.0234375,1.953125
palindrome_bin_no_coherence,1,512,6,0.07363107781851078,0.00542153562071559,0.9999899449739952,2,0.0,2.0
palindrome_bin_no_coherence,1,512,8,0.09817477042468103,0.009638285547938826,0.9999899449739952,2,-0.03125,2.0625
palindrome_bin_no_coherence,1,512,10,0.1227184630308513,0.015059821168654416,0.9999899449739952,2,0.03125,1.9375
palindrome_bin_no_coherence,1,512,12,0.14726215563702155,0.02168614248286236,0.9999899449739952,2,0.015625,1.96875
palindrome_bin_no_coherence,1,512,16,0.19634954084936207,0.038553142191755305,0.9999899449739952,2,0.109375,1.78125
palindrome_bin_no_coherence,1,512,20,0.2454369260617026,0.060239284674617664,0.9999899449739952,2,0.015625,1.96875
palindrome_bin_no_coherence,1,512,24,0.2945243112740431,0.08674456993144944,0.9999899449739952,2,-0.03125,2.0625
palindrome_bin_no_coherence,1,512,28,0.3436116964863836,0.11806899796225062,0.9999899449739952,2,0.0,2.0
palindrome_bin_no_coherence,1,512,32,0.39269908169872414,0.15421256876702122,0.9999899449739952,2,0.0625,1.875
palindrome_bin_no_coherence,1,512,64,0.7853981633974483,0.6168502750680849,0.9999899449739952,2,0.0625,1.875
coherent_soft_clean,2,512,0,0.0,0.0,0.9998934738493938,2,1.0,0.0
coherent_soft_clean,2,512,1,0.01227184630308513,0.00015059821168654416,0.9998934738493938,2,0.9987427615309887,0.0025144769380225362
coherent_soft_clean,2,512,2,0.02454369260617026,0.0006023928467461766,0.9998934738493938,2,0.9950320946494255,0.009935810701148906
coherent_soft_clean,2,512,3,0.03681553890925539,0.0013553839051788975,0.9998934738493938,2,0.9890416114022593,0.02191677719548135
coherent_soft_clean,2,512,4,0.04908738521234052,0.0024095713869847065,0.9998934738493938,2,0.9810331574697088,0.03793368506058248
coherent_soft_clean,2,512,5,0.06135923151542565,0.003764955292163604,0.9998934738493938,2,0.971323333376424,0.05735333324715208
coherent_soft_clean,2,512,6,0.07363107781851078,0.00542153562071559,0.9998934738493938,2,0.9602453127127695,0.07950937457446106
coherent_soft_clean,2,512,8,0.09817477042468103,0.009638285547938826,0.9998934738493938,2,0.9351867455871357,0.12962650882572868
coherent_soft_clean,2,512,10,0.1227184630308513,0.015059821168654416,0.9998934738493938,2,0.9076632367508217,0.18467352649835655
coherent_soft_clean,2,512,12,0.14726215563702155,0.02168614248286236,0.9998934738493938,2,0.8783883851717118,0.2432232296565764
coherent_soft_clean,2,512,16,0.19634954084936207,0.038553142191755305,0.9998934738493938,2,0.8142219890358551,0.37155602192828985
coherent_soft_clean,2,512,20,0.2454369260617026,0.060239284674617664,0.9998934738493938,2,0.7431982026997794,0.5136035946004411
coherent_soft_clean,2,512,24,0.2945243112740431,0.08674456993144944,0.9998934738493938,2,0.669636858016212,0.660726283967576
coherent_soft_clean,2,512,28,0.3436116964863836,0.11806899796225062,0.9998934738493938,2,0.5958211991153174,0.8083576017693652
coherent_soft_clean,2,512,32,0.39269908169872414,0.15421256876702122,0.9998934738493938,2,0.5226882373337398,0.9546235253325204
coherent_soft_clean,2,512,64,0.7853981633974483,0.6168502750680849,0.9998934738493938,2,0.12436596315108944,1.7512680736978212
coherent_soft_noise_sigma0.05,2,512,0,0.0,0.0,0.9998934738493938,2,0.9988003747684211,0.0023992504631578093
coherent_soft_noise_sigma0.05,2,512,1,0.01227184630308513,0.00015059821168654416,0.9998934738493938,2,0.9973545160475621,0.005290967904875821
coherent_soft_noise_sigma0.05,2,512,2,0.02454369260617026,0.0006023928467461766,0.9998934738493938,2,0.9936298078677631,0.01274038426447377
coherent_soft_noise_sigma0.05,2,512,3,0.03681553890925539,0.0013553839051788975,0.9998934738493938,2,0.9880412008293471,0.0239175983413058
coherent_soft_noise_sigma0.05,2,512,4,0.04908738521234052,0.0024095713869847065,0.9998934738493938,2,0.9800859014742653,0.03982819705146934
coherent_soft_noise_sigma0.05,2,512,5,0.06135923151542565,0.003764955292163604,0.9998934738493938,2,0.9700542785981858,0.05989144280362835
coherent_soft_noise_sigma0.05,2,512,6,0.07363107781851078,0.00542153562071559,0.9998934738493938,2,0.9595674578732173,0.08086508425356542
coherent_soft_noise_sigma0.05,2,512,8,0.09817477042468103,0.009638285547938826,0.9998934738493938,2,0.934412048589546,0.13117590282090807
coherent_soft_noise_sigma0.05,2,512,10,0.1227184630308513,0.015059821168654416,0.9998934738493938,2,0.9054905701225369,0.18901885975492627
coherent_soft_noise_sigma0.05,2,512,12,0.14726215563702155,0.02168614248286236,0.9998934738493938,2,0.8761258840515761,0.2477482318968478
coherent_soft_noise_sigma0.05,2,512,16,0.19634954084936207,0.038553142191755305,0.9998934738493938,2,0.8150662832545811,0.36986743349083784
coherent_soft_noise_sigma0.05,2,512,20,0.2454369260617026,0.060239284674617664,0.9998934738493938,2,0.7420968249503477,0.5158063500993046
coherent_soft_noise_sigma0.05,2,512,24,0.2945243112740431,0.08674456993144944,0.9998934738493938,2,0.6697348776453689,0.6605302447092622
coherent_soft_noise_sigma0.05,2,512,28,0.3436116964863836,0.11806899796225062,0.9998934738493938,2,0.5980774410691669,0.8038451178616661
